1242380	1133740	1209550	1071730	1211100	1199730	1135690	1172040	1205260	1236580	1226960	1265760	1251140	1190020	1165650	1219000	1245550	1236970	1172510	1270350	1149210	1189300	1239610	1111770
1198230	1310530	1241660	1226840	1273260	1277490	1350400	1226890	1260060	1083280	1258780	867150	1253160	596970	1337860	275780	1240760	197360	1133410	130350	1171210	116350	1151020	1153480
1222800	1119270	1115480	1155440	1220390	1062230	1226740	1117400	1233780	1076990	1252440	1262230	1231280	1115600	1158730	1031190	1264400	675460	1286260	249680	1189810	19310	1234650	1147970
1312050	1229720	1209540	1288150	1295240	1215870	1383540	1299700	1327170	1263730	1336260	1269300	1286380	1284970	1224900	1206970	1327110	1181760	1228050	1185700	1232730	887570	1124790	1159490
1278570	1172240	1076400	1121910	1152260	1115910	1206750	1220950	1151860	1347590	1283490	1153420	1255630	1180830	1262210	1202370	1216290	1169880	1171440	1122830	1126710	842090	1218150	1160320
1283500	1252270	1276890	1091170	1348520	1061440	1309570	887920	1449290	993210	1347880	1077030	1335870	940050	1205290	1032090	1321080	980910	1278630	972440	1192970	871950	1251540	1125320
1309800	1218000	1185590	1128970	1133280	1291310	1246780	1289050	1245080	1101270	1201150	1071570	1295320	834500	1267130	766480	1278730	550110	1270930	219910	1160300	10630	1160280	1234400
1342680	1270340	1289900	1269110	1234600	1218190	1241680	1291590	1278760	1171170	1321480	998000	1284520	858060	1215580	749160	1275270	653710	1288590	472050	1333070	160510	1166970	1191400
1278790	1085640	1231520	1325210	1134060	1235370	1273300	1348060	1263180	1147830	1204330	1004520	1239460	638190	1253380	322110	1356130	223060	1320460	171770	1365460	172110	1258720	1275620
1353100	1221810	1092450	1223110	1229260	1185470	1310070	1216630	1280870	1381610	1271190	1198280	1262000	1216180	1245740	1220030	1248140	992450	1180360	422090	1258100	158170	1194320	1348380
1282830	1192320	1065330	1196150	1194190	1145550	1264430	1158660	1233960	1209100	1300230	1268500	1243570	1425280	1247310	1336070	1207340	1223790	1299180	1085360	1309110	1128960	1199680	1221240
1190660	1185460	1247280	1198440	1239260	1173800	1294250	1231310	1330000	1257870	1277150	1163370	1297930	1317130	1235940	1268140	1331450	1234310	1399550	1104770	1246160	888260	1199810	1220240
1206450	1221510	1149150	979830	1182840	1072080	1200110	854510	1222870	870620	1187170	875710	1220840	946690	1229690	900220	1329070	928340	1268080	815240	1238410	850890	1232420	1174760
1312980	1219740	1184230	1265430	1292520	1154880	1240460	1267750	1159480	1071060	1239090	1038260	1211880	929830	1210460	814790	1235130	543530	1224830	158630	1248530	10580	1160070	1206050
1193980	1167010	1139880	1135300	1240560	1080480	1262990	1168720	1161690	1071200	1117080	927140	1225770	738360	1246320	691730	1156480	602940	1216570	397500	1199400	122430	1186330	1203880
1120120	1198030	1197070	1212160	1212260	1121530	1171370	1148180	1188010	1258590	1201150	1231630	1295720	1251890	1303040	1135150	1106120	1175880	1157010	1227650	1136800	1258680	1219980	1261440
