906930	859210	838960	1064850	912970	798180	952710	972750	925170	888200	905660	1013820	924010	920010	855940	977160	899120	911270	856650	761780	910820	849250	849950	890010
916980	876110	941950	861090	909350	845610	895070	901020	836260	602900	861050	367370	876370	175020	849760	180580	894990	190840	834520	162260	902650	135930	911210	881790
862340	875590	786720	899420	803780	837780	821820	883990	824720	885470	848640	852550	820830	779010	848620	631970	819980	368810	761530	34950	840310	19180	801560	901820
811820	865190	914310	757950	878840	774380	897010	804610	907550	867650	808260	852030	895130	883040	742040	848150	880840	864970	858870	765960	883010	426490	857820	890390
907530	783580	848460	791790	895920	852960	874130	792850	782740	833350	789390	857490	794800	800430	803730	535100	793080	419430	852330	434510	776640	311790	926710	972050
896760	830070	781740	748620	791490	711910	849270	690950	867770	755030	806180	706630	827470	620500	850750	596080	777470	625430	843240	628170	836560	664410	811710	857490
811360	888830	842180	853110	739090	821960	762450	790750	716110	637660	751070	714960	765360	685210	765180	755110	795950	491450	761840	140490	851040	9860	852660	871190
924420	841820	847560	775870	792780	746050	869150	763440	825460	747350	715400	735250	750450	690840	757710	676770	772090	560440	790110	414500	882260	186050	862720	824220
895070	924780	893780	880720	803350	801200	792260	788100	848450	541790	867570	298320	827860	181590	797710	163590	819630	180320	835910	174420	841390	134920	956750	885600
836470	799810	837470	843450	870010	777370	798150	863470	758510	730340	915300	815540	781850	703020	790210	704990	874300	348560	923730	33770	887800	12630	917950	936090
950450	834170	858480	755680	766680	775550	796860	803240	770530	834100	1004160	907720	805080	735420	847030	838860	801210	763920	830330	794850	799640	468560	899030	1131360
923320	856490	869050	773950	762590	808290	799210	757900	765860	799280	820950	693800	866340	731750	787610	711950	981120	482950	850550	435520	895370	303490	810800	923480
942880	965170	864090	697220	778650	720950	909830	723150	877130	630270	820760	765700	826310	640870	905880	687280	802260	674160	789290	727010	920800	560820	924790	890510
821270	811330	889980	820400	882120	981290	848300	770280	805390	623400	912380	808410	820450	714450	832370	625630	895810	501280	739730	134950	853480	5070	943560	980300
888830	798120	804360	851010	889090	964940	879640	846650	841850	858120	917730	803940	828540	806590	921920	765360	857690	642390	940130	358150	894160	172750	880760	868670
745390	843620	780690	862110	917320	809250	909170	739210	988340	841930	856240	809300	784800	905220	834970	933380	929010	936380	870110	870850	853010	853460	853800	894210
